网址,<a></a>,第一关键词,https://www.google.com/s2/favicons?domain=,https://zhengxie.info/common/image/favicon/,排序—1,排序—2,国家,省份,城市
http://www.gqb.gov.cn/,国务院侨务办公室,国务院,https://www.google.com/s2/favicons?domain=http://www.gqb.gov.cn/,,1,,,,
http://www.gwytb.gov.cn/,国务院台湾事务办公室,国务院,https://www.google.com/s2/favicons?domain=http://www.gwytb.gov.cn/,,1,,,,
http://203.192.6.89/xhs/,新华社,国务院,https://www.google.com/s2/favicons?domain=http://203.192.6.89/xhs/,,1,,,,
https://www.drc.gov.cn/default.aspx,国务院发展研究中心,国务院,https://www.google.com/s2/favicons?domain=https://www.drc.gov.cn/default.aspx,,1,,,,
http://www.csrc.gov.cn/pub/newsite/,中国证券监督管理委员会,国务院,https://www.google.com/s2/favicons?domain=http://www.csrc.gov.cn/pub/newsite/,,1,,,,
http://www.nea.gov.cn/,国家能源局,国务院,https://www.google.com/s2/favicons?domain=http://www.nea.gov.cn/,,1,,,,
http://www.sastind.gov.cn/,国家国防科技工业局,国务院,https://www.google.com/s2/favicons?domain=http://www.sastind.gov.cn/,,1,,,,
http://www.tobacco.gov.cn/gjyc/index.shtml,国家烟草专卖局,国务院,https://www.google.com/s2/favicons?domain=http://www.tobacco.gov.cn/gjyc/index.shtml,,1,,,,
http://www.nra.gov.cn/,国家铁路局,国务院,https://www.google.com/s2/favicons?domain=http://www.nra.gov.cn/,,1,,,,
http://www.spb.gov.cn/,国家邮政局,国务院,https://www.google.com/s2/favicons?domain=http://www.spb.gov.cn/,,1,,,,
http://www.ncha.gov.cn/,国家文物局,国务院,https://www.google.com/s2/favicons?domain=http://www.ncha.gov.cn/,,1,,,,
https://www.saac.gov.cn/,国家档案局,国务院,https://www.google.com/s2/favicons?domain=https://www.saac.gov.cn/,,1,,,,
http://www.gjbmj.gov.cn/,国家保密局,国务院,https://www.google.com/s2/favicons?domain=http://www.gjbmj.gov.cn/,,1,,,,
https://www.oscca.gov.cn/,国家密码管理局,国务院,https://www.google.com/s2/favicons?domain=https://www.oscca.gov.cn/,,1,,,,
https://www.mct.gov.cn/,退役军人事务部,国务院,http://www.mva.gov.cn/favicon.ico,16,1,,,,
http://www.mem.gov.cn/,应急管理部,国务院,http://www.mem.gov.cn/image/favicon.ico,64,1,,,,
http://nnsa.mee.gov.cn/,国家核安全局,国务院,http://nnsa.mee.gov.cn/favicon.ico,16,1,,,,
http://www.samr.gov.cn/,国家市场监督管理总局,国务院,http://www.samr.gov.cn/favicon.ico,16,1,,,,
http://www.cnca.gov.cn/,国家认证认可监督管理委员会,国务院,http://www.cnca.gov.cn/favicon.ico,16,1,,,,
http://www.sac.gov.cn/,国家标准化管理委员会,国务院,http://www.sac.gov.cn/favicon.ico,16,1,,,,
http://www.ncac.gov.cn/,国家版权局网,国务院,http://www.ncac.gov.cn/chinacopyright/favicon.ico,32,1,,,,
http://www.gov.cn/guoqing/2018-06/22/content_5300522.htm,国务院研究室,国务院,http://www.gov.cn/govweb/xhtml/favicon.ico,16,1,,,,
http://www.cac.gov.cn/,中共中央网络安全和信息化委员会办公室,国务院,http://www.cac.gov.cn/favicon.ico,16,1,,,,
http://www.scio.gov.cn/index.htm,国务院新闻办公室,国务院,http://www.scio.gov.cn/favicon.ico,256,1,,,,
http://www.cas.ac.cn/,中国科学院,国务院,http://www.cas.cn/lib/images/favicon.ico,64,1,,,,
http://cass.cssn.cn/,中国社会科学院,国务院,http://cass.cssn.cn/favicon.ico,16,1,,,,
http://www.cae.cn/,中国工程院,国务院,http://www.cae.cn/cae/favicon.ico,32,1,,,,
http://www.cma.gov.cn/,中国气象局,国务院,http://www.cma.gov.cn/favicon.ico,16,1,,,,
http://www.cbirc.gov.cn/cn/view/pages/index/index.html,中国银行保险监督管理委员会,国务院,http://www.cbirc.gov.cn/cn/static/favicon.ico,128,1,,,,
https://www.gjxfj.gov.cn/gjxfj/index.htm,国家信访局,国务院,https://www.gjxfj.gov.cn/favicon.ico,32,1,,,,
http://www.lswz.gov.cn/,国家粮食和物资储备局,国务院,http://www.lswz.gov.cn/html/xhtml/images/favicon.ico,16,1,,,,
https://www.nia.gov.cn/,国家移民管理局,国务院,https://www.nia.gov.cn/titlepic/new-guohui.ico,1024,1,,,,
http://www.satcm.gov.cn/,国家中医药管理局,国务院,http://www.satcm.gov.cn/favicon.ico,256,1,,,,
http://www.safe.gov.cn/,国家外汇管理局,国务院,http://www.safe.gov.cn/safe/templateresource/372b1dfdab204181b9b4f943a8e926a6/images/safe.ico,32,1,,,,
http://www.xinhuanet.com/,新华网,中央媒体,http://www.xinhuanet.com/favicon.ico,16,3,1,,,
http://www.people.com.cn/,人民网,中央媒体,http://www.people.com.cn/favicon.ico,16,3,2,,,
https://www.cctv.com/,央视网,中央媒体,https://www.cctv.com/favicon.ico,16,3,3,,,
http://www.cnr.cn/,央广网,中央媒体,http://www.cnr.cn/favicon.ico,16,3,4,,,
http://www.gmw.cn/,光明网,中央媒体,http://www.gmw.cn/favicon.ico,64,3,5,,,
http://www.qstheory.cn/,求是网,中央媒体,http://www.qstheory.cn/favicon.ico,16,3,6,,,
http://www.china.com.cn/index.shtml,中国网,中央媒体,http://www.china.com.cn/favicon.ico,32,3,7,,,
http://www.cyol.com/,中青在线,中央媒体,http://www.cyol.com/themes/cyol/assets/images/cyol/cyol_logo.png,72,3,8,,,
http://www.chinadaily.com.cn/,中国日报网,中央媒体,http://www.chinadaily.com.cn/favicon.ico,32,3,9,,,
http://www.ce.cn/,中国经济网,中央媒体,http://www.ce.cn/favicon.ico,16,3,10,,,
http://www.chinanews.com/,中国新闻网,中央媒体,https://www.google.com/s2/favicons?domain=http://www.chinanews.com/,,3,222,,,
https://www.chinacourt.org/index.shtml,中国法院网,中央媒体,https://www.chinacourt.org/share/images/favicon.ico,16,3,888,,,
http://www.jcrb.com/,正义网,中央媒体,http://www.jcrb.com/favicon.ico,32,3,888,,,
http://www.workercn.cn/,中工网,中央媒体,http://www.workercn.cn/favicon.ico,32,3,999,,,
http://www.baidu.com/,百度搜索,搜索,https://www.baidu.com/favicon.ico,64,9,1,,,
https://www.google.com/,Google搜索,搜索,https://www.google.com/favicon.ico,32,9,2,,,
https://zhengxie.info/,正协信息客栈,导航网站,https://zhengxie.info/common/image/favicon.ico,256,15,1,,,
https://www.google.com/,Google搜索,Google,https://www.google.com/favicon.ico,32,20,1,,,
https://translate.google.cn/,翻译,Google,https://ssl.gstatic.com/translate/favicon.ico,64,20,2,,,
https://drive.google.com/,云端硬盘,Google,https://ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png,32,20,3,,,
https://www.google.com/adsense/,Google AdSense,Google,https://ssl.gstatic.com/adsense/apps/static/bidi/adsense3_antipasti_server_20210317-12_RC00/common/resources/favicon.ico,32,20,4,,,
http://www.baidu.com/,百度搜索,百度,https://www.baidu.com/favicon.ico,64,25,1,,,
https://tongji.baidu.com/,百度统计,百度,https://tongji.baidu.com/favicon.ico,32,25,,,,
https://cn.aliyun.com/,阿里云,云服务,https://img.alicdn.com/tfs/TB1_ZXuNcfpK1RjSZFOXXa6nFXa-32-32.ico,32,30,1,,,
https://cloud.tencent.com/,腾讯云,云服务,https://cloud.tencent.com/favicon.ico?t=201902181234,32,30,2,,,
https://cloud.baidu.com/,百度云,云服务,https://bce.bdstatic.com/img/favicon.ico,128,30,3,,,
https://www.huaweicloud.com/,华为云,云服务,https://res-static3.huaweicloud.com/content/dam/cloudbu-site/archive/commons/web_resoure/framework/favicon/favicon.ico?sttl=202012172120,16,30,4,,,
https://www.taobao.com/,淘宝网,购物网站,https://img.alicdn.com/tfs/TB1VlKFRpXXXXcNapXXXXXXXXXX-16-16.png,16,99,1,,,
https://www.tmall.com/,天猫,购物网站,https://zhengxie.info/common/image/favicon/天猫32.gif,天猫32.gif,99,2,,,
https://www.jd.com/,京东,购物网站,https://www.jd.com/favicon.ico,48,99,3,,,
https://www.suning.com/,苏宁易购,购物网站,https://www.suning.com/favicon.ico,16,99,4,,,
https://www.foxmail.com/,Foxmail,邮箱,https://www.foxmail.com/favicon.ico,32,110,1,,,
https://mail.qq.com/,QQ邮箱,邮箱,https://mail.qq.com/zh_CN/htmledition/images/favicon/qqmail_favicon_32h.png,32,110,2,,,
https://mail.google.com/,Gmail,邮箱,https://ssl.gstatic.com/ui/v1/icons/mail/rfr/gmail.ico,256,110,3,,,
https://outlook.live.com/,Outlook,邮箱,https://outlook-1.cdn.office.net/owamail/20210315003.14/resources/images/favicons/mail-seen.ico,32,110,4,,,
https://mail.sina.com.cn/,新浪邮箱,邮箱,https://mail.sina.com.cn/favicon.ico,32,110,5,,,
https://login.yahoo.com/,雅虎Yahoo,邮箱,https://s.yimg.com/wm/mbr/images/yahoo-favicon-img-v0.0.2.ico,16,110,6,,,
http://www.126.com/,126邮箱,邮箱,https://www.google.com/s2/favicons?domain=http://www.126.com/,,110,7,,,
https://mail.163.com/,163邮箱,邮箱,https://www.google.com/s2/favicons?domain=https://mail.163.com/,,110,7,,,
